Name,Years,Position,Party,State,Congress,Link
"CHAFFEE, Jerome Bunty",1825-1886,Delegate,Republican,CO,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000271
"CHANDLER, Zachariah",1813-1879,Senator,Republican,MI,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000299
"CHIPMAN, Norton Parker",1834-1924,Delegate,Republican,DC,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000370
"CHITTENDEN, Simeon Baldwin",1814-1889,Representative,Independent Republican,NY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000373
"CLARK, Amos, Jr.",1828-1912,Representative,Republican,NJ,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000421
"CLARK, John Bullock, Jr.",1831-1903,Representative,Democrat,MO,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000442
"CLARKE, Freeman",1809-1887,Representative,Republican,NY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000461
"CLAYTON, Charles",1825-1885,Representative,Republican,CA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000493
"CLAYTON, Powell",1833-1914,Senator,Republican,AR,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000498
"CLEMENTS, Isaac",1837-1909,Representative,Republican,IL,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000507
"CLYMER, Hiester",1827-1884,Representative,Democrat,PA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000539
"COBB, Clinton Levering",1842-1879,Representative,Republican,NC,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000544
"COBB, Stephen Alonzo",1833-1878,Representative,Republican,KS,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000551
"COBURN, John",1825-1908,Representative,Republican,IN,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000558
"COMINGO, Abram",1820-1889,Representative,Democrat,MO,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000658
"CONGER, Omar Dwight",1818-1898,Representative,Republican,MI,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000678
"CONKLING, Roscoe",1829-1888,Senator,Republican,NY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000681
"CONOVER, Simon Barclay",1840-1908,Senator,Republican,FL,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000701
"COOK, Philip",1817-1894,Representative,Democrat,GA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000724
"COOPER, Henry",1827-1884,Senator,Democrat,TN,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000751
"CORWIN, Franklin",1818-1879,Representative,Republican,IL,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000789
"COTTON, Aylett Rains",1826-1912,Representative,Republican,IA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000801
"COX, Samuel Sullivan",1824-1889,Representative,Democrat,NY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000839
"CRAGIN, Aaron Harrison",1821-1898,Senator,Republican,NH,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000852
"CREAMER, Thomas James",1843-1914,Representative,Democrat,NY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000899
"CRITTENDEN, Thomas Theodore",1832-1909,Representative,Democrat,MO,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000913
